wave,lnwage,sex,expf,expfsq,expp,exppsq,edyrs,colldeg,advdeg,msa,region,racehisp,union,govt,ind,occ,mgrocc,profocc,maleprofaer,wght
1999,2.693781614303589,male,31,961,4,16,14,0,0,1,midwest,whitenh,0,1,transport,managerial,1,0,0,23.299999237060547
1999,2.56227445602417,male,16,256,5,25,12,0,0,0,midwest,whitenh,0,0,durables,production,0,0,0,0
2007,2.459092855453491,male,23,529,1,1,10,0,0,0,south,whitenh,0,0,miningconstruction,construct,0,0,0,4.513999938964844
1981,2.87812876701355,male,18,324,0,0,11,0,0,1,south,blacknh,0,0,wholesale,transport,0,0,0,1
1999,2.38702392578125,male,20,400,0,0,16,1,0,1,midwest,blacknh,0,0,retail,sales,0,0,0,11.604999542236328
1999,2.9205403327941895,male,4,16,23,529,12,0,0,1,midwest,whitenh,0,0,retail,transport,0,0,0,17.562000274658203
1999,3.0617525577545166,male,34,1156,0,0,12,0,0,1,northeast,blacknh,0,0,enterntainment,managerial,1,0,0,7.205999851226807
1999,4.035580158233643,male,29,841,0,0,16,1,0,0,south,whitenh,0,0,communications,managerial,1,0,0,24.485000610351562
1981,3.0407700538635254,male,19,361,0,0,12,0,0,1,south,whitenh,0,0,durables,transport,0,0,0,16
2007,3.2002100944519043,male,9,81,0,0,12,0,0,0,midwest,whitenh,1,0,miningconstruction,construct,0,0,0,15.588000297546387
1999,2.4638214111328125,male,21,441,2,4,14,0,0,1,south,blacknh,0,1,miningconstruction,transport,0,0,0,1.2209999561309814
2007,3.4406721591949463,male,14,196,4,16,12,0,0,0,midwest,whitenh,0,0,communications,managerial,1,0,0,16.461999893188477
2007,2.9304959774017334,male,17,289,0,0,12,0,0,1,south,blacknh,0,0,professional,transport,0,0,0,1.8559999465942383
1990,2.4833927154541016,male,16,256,0,0,5,0,0,1,south,blacknh,0,0,wholesale,transport,0,0,0,0.9480000138282776
2011,2.4423470497131348,male,2,4,8,64,12,0,0,1,west,blacknh,0,0,retail,sales,0,0,0,4.691999912261963
1981,1.9843109846115112,male,7,49,2,4,14,0,0,1,west,whitenh,0,0,enterntainment,socialworker,0,1,1,8
2007,3.284986734390259,male,31,961,1,1,14,0,0,0,west,whitenh,1,1,transport,admin,0,0,0,25.170000076293945
1999,3.3949625492095947,male,12,144,0,0,14,0,0,1,northeast,whitenh,1,0,miningconstruction,construct,0,0,0,26.485000610351562
2009,2.9109554290771484,male,3,9,7,49,18,0,1,0,south,whitenh,0,0,medical,healthcare,0,1,0,15.770000457763672
2009,3.8885891437530518,male,15,225,2,4,18,0,1,0,midwest,whitenh,0,0,admin,architect,0,1,1,26.208999633789062
2009,3.503756284713745,male,10,100,6,36,16,1,0,0,northeast,whitenh,1,0,durables,financial,1,0,0,18.115999221801758
1999,2.9760067462921143,male,24,576,0,0,14,0,0,1,south,blacknh,0,0,enterntainment,sales,0,0,0,37.736000061035156
1990,2.8124849796295166,male,38,1444,0,0,8,0,0,0,south,whitenh,0,0,retail,construct,0,0,0,2.947000026702881
2011,4.081625938415527,male,1,1,9,81,17,0,0,1,midwest,hisp,0,0,medical,healthcare,0,1,1,23.32900047302246
1999,3.3696372509002686,male,13,169,0,0,12,0,0,0,south,whitenh,0,0,miningconstruction,production,0,0,0,12.404000282287598
2007,3.0398058891296387,male,20,400,0,0,12,0,0,0,midwest,whitenh,0,0,durables,construct,0,0,0,24.81999969482422
1981,3.191786527633667,male,8,64,1,1,12,0,0,1,northeast,whitenh,1,1,admin,security,0,0,0,18
1999,3.5093677043914795,male,20,400,8,64,18,0,1,1,midwest,whitenh,0,1,admin,lawyer,0,1,1,26.45800018310547
2009,3.933074951171875,male,12,144,1,1,13,0,0,1,south,whitenh,0,0,durables,sales,0,0,0,15.914999961853027
2009,3.3423614501953125,male,13,169,1,1,18,0,1,0,south,whitenh,0,1,durables,business,1,0,0,31.732999801635742
2009,2.756614923477173,male,16,256,0,0,12,0,0,0,south,whitenh,0,0,wholesale,managerial,1,0,0,27.160999298095703
1981,3.297147035598755,male,3,9,6,36,12,0,0,1,midwest,whitenh,1,1,transport,admin,0,0,0,20
1999,2.803842544555664,male,27,729,1,1,12,0,0,0,south,whitenh,0,0,durables,construct,0,0,0,18.486000061035156
1981,2.542656183242798,male,8,64,0,0,12,0,0,1,south,blacknh,0,0,medical,admin,0,0,0,1
1999,3.3044345378875732,male,21,441,2,4,16,1,0,1,midwest,blacknh,0,1,enterntainment,managerial,1,0,0,7.053999900817871
1990,1.5921757221221924,male,7,49,3,9,11,0,0,0,south,whitenh,0,0,retail,transport,0,0,0,17.613000869750977
1999,2.8947196006774902,male,23,529,1,1,12,0,0,1,south,blacknh,0,0,professional,building,0,0,0,4.0329999923706055
2009,2.926349401473999,male,12,144,0,0,12,0,0,1,midwest,whitenh,0,0,nondurables,production,0,0,0,13.090999603271484
